TownCode,Town,Latitude,Longitude,How,House,Clouds,About,Drought
1.1,Lowick,55.649,-1.977,uu,uu,uu,uu,uu
1.1,Lowick,55.649,-1.977,uu,uu,uu,uu,uu
1.2,Embleton,55.4959,-1.6354,uu,uu,uu,uu,uu
1.2,Embleton,55.4959,-1.6354,uu,uu,uu,uu,uu
1.3,Thropton,55.314,-1.958,uu,uu,uu,uu,uu
1.3,Thropton,55.314,-1.958,uu,uu,uu,uu,uu
1.4,Ellington,55.2209,-1.5621,uu,uu,uu,uu,uu
1.4,Ellington,55.2209,-1.5621,uu,uu,uu,uu,uu
1.5,Wark on Tyne,55.0917,-2.213,uu,uu,uu,uu,uu
1.5,Wark on Tyne,55.0917,-2.213,uu,uu,uu,uu,uu
1.6,Earsdon,55.0463,-1.4952,uu,uu,uu,uu,uu
1.6,Earsdon,55.0463,-1.4952,uu,uu,uu,uu,uu
1.7,Haltwhistle,54.97,-2.458,uu,uu,uu,uu,ou
1.7,Haltwhistle,54.97,-2.458,uu,uu,uu,uu,ou
1.8,Heddon-on-the-Wall,54.992905,-1.790535,uu,uu,uu,uu,au
1.8,Heddon-on-the-Wall,54.992905,-1.790535,uu,uu,uu,uu,au
1.9,Allendale,54.8961,-2.2565,uu,uu,uu,uu,uu
2.1,Longtown,55.0084,-2.9687,uu,uu,uu,uu,uu
2.1,Longtown,55.0084,-2.9687,uu,uu,uu,uu,uu
2.2,Abbeytown,54.844722,-3.287778,uu,uu,uu,uu,uu
2.2,Abbeytown,54.844722,-3.287778,uu,uu,uu,uu,uu
2.3,Brigham,54.658,-3.416,uu,uu,uu,uu,u
2.3,Brigham,54.658,-3.416,uu,uu,uu,uu,u
2.4,Threlkeld,54.61917,-3.05148,uu,uu,uu,uu,uu
2.4,Threlkeld,54.61917,-3.05148,uu,uu,uu,uu,uu
2.5,Hunsonby,54.716667,-2.65,uu,uu,uu,uu,uu
2.5,Hunsonby,54.716667,-2.65,uu,uu,uu,uu,uu
2.6,Gosforth,54.41886,-3.43408,au,euu,au,au,u
2.6,Gosforth,54.41886,-3.43408,au,euu,au,au,u
3.1,Washington,54.9111,-1.5086,uu,uu,uu,uu,ou
3.1,Washington,54.9111,-1.5086,uu,uu,uu,uu,ou
3.2,Ebchester,54.883333,-1.833333,uu,uu,uu,uu,uu
3.2,Ebchester,54.883333,-1.833333,uu,uu,uu,uu,uu
3.3,Wearhead,54.751,-2.222,euu,euu,euu,euu,euu
3.3,Wearhead,54.751,-2.222,euu,euu,euu,euu,euu
3.4,Witton-le-Wear,54.676734,-1.773391,euu,uu,euu,euu,euu
3.4,Witton-le-Wear,54.676734,-1.773391,euu,euu,euu,euu,euu
3.5,Bishop Middleham,54.678333,-1.488333,euu,euu,euu,euu,euu
3.5,Bishop Middleham,54.678333,-1.488333,euu,euu,euu,euu,euu
3.6,Eggleston,54.59994,-2.02584,ouu,ouu,ouu,ouu,oouu
3.6,Eggleston,54.59994,-2.02584,ouu,ouu,ouu,ouu,oouu
4.1,Great Strickland,54.599842,-2.682887,uu,oouu,uu,uu,uu
4.1,Great Strickland,54.599842,-2.682887,uu,oouu,uu,uu,uu
4.2,Patterdale,54.53296,-2.9349,uu,uu,oouu,oouu,oouu
4.2,Patterdale,54.53296,-2.9349,uu,uu,oouu,oouu,oouu
4.3,Soulby,54.49371,-2.38902,oouu,oouu,oouu,oouu,oouu
4.3,Soulby,54.49371,-2.38902,oouu,oouu,oouu,oouu,oouu
4.4,Staveley-in-Kendal,54.37562,-2.81894,oouu,euu,oouu,oouu,u
4.4,Staveley-in-Kendal,54.37562,-2.81894,oouu,euu,oouu,oouu,u
5.1,Coniston,54.368,-3.073,au,au,au,au,au
5.2,Cartmel,54.199,-2.951,au,au,au,au,u
5.2,Cartmel,54.199,-2.951,au,au,au,au,u
5.3,Yealand,54.17555,-2.76596,au,au,au,au,u
5.3,Yealand,54.17555,-2.76596,au,uu,au,au,u
5.4,Dolphinholme,53.975,-2.738,au,au,au,au,u
5.5,Fleetwood,53.923,-3.015,au,au,au,au,au
5.6,Pilling,53.929461,-2.905516,au,au,au,aa,u
5.6,Pilling,53.929461,-2.905516,au,au,au,aa,u
5.7,Thistleton,53.833304,-2.901921,au,au,au,aa,u
5.7,Thistleton,53.833304,-2.901921,au,au,au,aa,u
5.8,Ribchester,53.813,-2.5323,aa,aa,aa,aa,u
5.8,Ribchester,53.813,-2.5323,aa,aa,aa,aa,u
5.9,Read,53.8056,-2.355,aee,aee,aee,aee,u
5.9,Read,53.8056,-2.355,aee,aee,aee,aee,u
5.1,Marshside,53.66892,-2.97318,aa,au,aa,aa,ueue
5.1,Marshside,53.66892,-2.97318,aa,au,aa,aa,ueue
5.11,Eccleston,53.64662,-2.725521,aa,aa,aa,aa,oouu
5.12,Harwood,53.597,-2.377,ii,ii,ii,ii,
5.12,Harwood,53.597,-2.377,ii,ii,ii,ii,
5.13,Bickerstaffe,53.534,-2.838,aa,aa,aa,aa,uu
5.14,Halewood,53.3599,-2.84,aa,aa,aa,aa,ɒu
5.14,Halewood,53.3599,-2.84,aa,aa,aa,aa,ɒu
6.1,Melsonby,54.47081,-1.6951,eu,hau,eu,hau,eu
6.1,Melsonby,54.47081,-1.6951,eu,hau,eu,hau,eu
6.2,Stokesley,54.4712,-1.1905,uu,uu,uu,uu,uu
6.3,Skelton,54.5619,-0.9874,uu,uu,uu,uu,uu
6.3,Skelton,54.5619,-0.9874,uu,uu,uu,uu,uu
6.4,Egton,54.4458,-0.7548,uu,uu,uu,uu,uu
6.4,Egton,54.4458,-0.7548,uu,uu,uu,uu,uu
6.5,Dent,54.276,-2.452,au,au,au,au,eu
6.5,Dent,54.276,-2.452,au,au,au,au,eu
6.6,Muker,54.38378,-2.12673,euu,euu,eu,euu,euu
6.6,Muker,54.38378,-2.12673,euu,iu,eu,euu,euu
6.7,Askrigg,54.31524,-2.0809,euu,eu,uu,uu,uu
6.7,Askrigg,54.31524,-2.0809,euu,eu,uu,uu,uu
6.8,Bedale,54.2833,-1.5833,eu,eu,eu,eu,eu
6.8,Bedale,54.2833,-1.5833,eu,eu,eu,eu,eu
6.9,Borrowby,54.29701,-1.34335,uu,uu,uu,uu,uu
6.9,Borrowby,54.29701,-1.34335,uu,uu,uu,uu,uu
6.1,Helmsley,54.246572,-1.054344,uu,uu,uu,uu,uu
6.1,Helmsley,54.246572,-1.054344,uu,au,uu,uu,uu
6.11,Rillington,54.1582,-0.6949,uu,uu,uu,uu,uu
6.11,Rillington,54.1582,-0.6949,uu,uu,uu,uu,uu
6.12,Burton-in-Lonsdale,54.14478,-2.53464,au,au,au,au,u
6.12,Burton-in-Lonsdale,54.14478,-2.53464,au,au,au,au,u
6.13,Horton-in-Ribblesdale,54.14972,-2.2961,au,au,au,au,u
6.13,Horton-in-Ribblesdale,54.14972,-2.2961,au,au,au,au,u
6.14,Grassington,54.071,-1.998,au,euu,au,au,u
6.14,Grassington,54.071,-1.998,au,au,au,au,u
6.15,Pateley Bridge,54.0854,-1.7622,oouu,oouu,eu,oouu,u
6.15,Pateley Bridge,54.0854,-1.7622,oouu,oouu,eu,oouu,oouu
6.16,Easingwold,54.1198,-1.1897,uu,uu,uu,uu,uu
6.16,Easingwold,54.1198,-1.1897,uu,uu,uu,uu,uu
6.17,Gargrave,53.984,-2.105,au,au,au,au,u
6.17,Gargrave,53.984,-2.105,au,au,au,au,au
6.18,Spofforth,53.95407,-1.44651,aa,uu,uu,uu,uu
6.18,Spofforth,53.95407,-1.44651,uu,uu,uu,uu,uu
6.19,York,53.95833,-1.080278,uu,uu,uu,uu,oo
6.19,York,53.95833,-1.080278,uu,uu,uu,uu,oo
6.2,Nafferton,54.019429,-0.390216,uu,uu,uu,uu,uu
6.2,Nafferton,54.019429,-0.390216,uu,uu,uu,uu,uu
6.21,Heptonstall,53.75309,-2.03716,aeu,aeu,aeu,aeu,u
6.22,Wibsey,53.767222,-1.772778,aa,aa,aa,aa,au
6.23,Leeds,53.799722,-1.549167,aa,aa,aa,aa,u
6.24,Cawood,53.833278,-1.131646,uu,uu,uu,uu,uu
6.24,Cawood,53.833278,-1.131646,uu,uu,uu,uu,uu
6.25,Newbald,53.816667,-0.616667,uu,uu,uu,uu,uu
6.25,Newbald,53.816667,-0.616667,uu,uu,uu,uu,uu
6.26,Thornhill,53.6622,-1.6124,aa,aa,aa,aa,u
6.26,Thornhill,53.6622,-1.6124,aa,aa,aa,aa,u
6.27,Carleton,53.688,-1.31,au,aa,au,aa,u
6.27,Carleton,53.688,-1.31,au,au,au,aa,u
6.28,Welwick,53.668584,0.031689,uu,uu,uu,uu,au
6.28,Welwick,53.668584,0.031689,uu,uu,uu,uu,au
6.29,Golcar,53.6378,-1.8457,ie,ie,ie,ie,u
6.3,Holmbridge,53.57,-1.787,jii,ja,ia,ia,ia
6.31,Skelmanthorpe,53.59083,-1.64915,ja,aee,a,aee,u
6.32,Ecclesfield,53.4429,-1.4698,aa,aa,aa,aa,aa
6.33,Tickhill,53.43049,-1.11348,aa,aa,au,uu,
6.33,Tickhill,53.43049,-1.11348,aa,au,au,aa,
6.34,Sheffield,53.383611,-1.466944,aa,au,aa,aa,au
6.34,Sheffield,53.383611,-1.466944,aa,au,au,aa,au
10.1,Eastoft,53.616667,-0.783333,uu,uu,uu,uu,
10.1,Eastoft,53.616667,-0.783333,uu,uu,uu,uu,
10.2,Saxby,53.633333,-0.5,au,uu,euu,uu,uu
10.3,Keelby,53.566667,-0.25,uu,uu,uu,uu,uu
10.4,Willoughton,53.427222,-0.601667,au,au,au,au,oo
10.5,Tealby,53.40084,-0.26408,au,au,au,au,au
0.1,Andreas,54.367,-4.444,aeu,au,aeu,ou,uu
0.2,Ronague,54.12,-4.686,eu,aeu,euu,euu,ou
